Bus Stop Start,Bus Stop End,Estimated Fare,Estimated Time
Nehru Place,Karol Bagh,14.45,55
Karol Bagh,Delhi University,19.17,77
Hauz Khas,India Gate,22.08,37
Delhi University,Rajiv Chowk,38.49,150
Rajiv Chowk,Chandni Chowk,36.89,74
Gurgaon,Rajiv Chowk,32.96,13
India Gate,Rajiv Chowk,77.55,106
Red Fort,Gurgaon,99.82,50
Karol Bagh,Nehru Place,58.06,30
Nehru Place,India Gate,94.98,24
India Gate,Gurgaon,45.69,34
Connaught Place,Rajiv Chowk,19.6,77
Red Fort,Nehru Place,46.79,42
Chandni Chowk,Red Fort,36.65,83
Rajiv Chowk,Hauz Khas,54.41,80
Delhi University,Nehru Place,69.13,77
Red Fort,Hauz Khas,51.49,68
India Gate,Nehru Place,94.16,166
Chandni Chowk,Rajiv Chowk,89.63,13
Hauz Khas,Karol Bagh,73.18,176
Rajiv Chowk,Gurgaon,54.07,118
Chandni Chowk,India Gate,21.85,102
Rajiv Chowk,Connaught Place,45.73,11
Rajiv Chowk,Nehru Place,73.4,155
Gurgaon,Connaught Place,35.64,18
India Gate,Delhi University,19.36,83
Chandni Chowk,Gurgaon,91.71,151
Rajiv Chowk,Karol Bagh,73.81,122
Karol Bagh,India Gate,65.37,51
Red Fort,India Gate,81.32,34
Hauz Khas,Chandni Chowk,85.21,73
Hauz Khas,Nehru Place,53.51,81
Rajiv Chowk,Red Fort,89.31,79
Chandni Chowk,Hauz Khas,92.48,113
Chandni Chowk,Connaught Place,34.44,158
India Gate,Hauz Khas,64.68,77
Connaught Place,Nehru Place,57.39,100
Connaught Place,Gurgaon,58.42,75
Delhi University,Hauz Khas,94.39,178
Delhi University,Red Fort,37.47,122
India Gate,Chandni Chowk,98.51,112
Gurgaon,India Gate,91.19,159
Nehru Place,Hauz Khas,51.29,86
India Gate,Connaught Place,83.57,80
Karol Bagh,Rajiv Chowk,79.21,170
Karol Bagh,Connaught Place,71.01,94
Connaught Place,Karol Bagh,38.79,96
Karol Bagh,Gurgaon,27.68,30
Red Fort,Chandni Chowk,70.44,119
Hauz Khas,Rajiv Chowk,85.87,171
Connaught Place,Red Fort,11.46,170
Karol Bagh,Hauz Khas,67.85,19
Chandni Chowk,Nehru Place,49.86,110
Chandni Chowk,Karol Bagh,90.83,141
Nehru Place,Gurgaon,38.93,73
India Gate,Red Fort,52.68,72
Karol Bagh,Chandni Chowk,56.33,146
Rajiv Chowk,Delhi University,22.64,38
Connaught Place,Chandni Chowk,74.16,23
Gurgaon,Delhi University,84.74,81
Red Fort,Connaught Place,15.21,136
Karol Bagh,Red Fort,36.22,125
Hauz Khas,Delhi University,13.42,150
Gurgaon,Chandni Chowk,96.09,140
Gurgaon,Nehru Place,70.05,119
Nehru Place,Chandni Chowk,96.78,87
Red Fort,Karol Bagh,57.83,33
Gurgaon,Karol Bagh,82.19,136
Rajiv Chowk,India Gate,43.7,128
Red Fort,Rajiv Chowk,41.84,136
Delhi University,Connaught Place,44.04,89
Hauz Khas,Connaught Place,69.21,21
Delhi University,Karol Bagh,42.35,19
Nehru Place,Red Fort,91.03,72
Chandni Chowk,Delhi University,98.49,75
Connaught Place,Delhi University,12.74,149
Nehru Place,Rajiv Chowk,27.43,105
Delhi University,India Gate,20.1,58
Red Fort,Delhi University,13.81,68
Gurgaon,Red Fort,30.5,85
Connaught Place,India Gate,50.21,139
Gurgaon,Hauz Khas,85.33,131
Nehru Place,Delhi University,29.96,163
Nehru Place,Connaught Place,54.46,40
Hauz Khas,Red Fort,93.67,171
Delhi University,Gurgaon,70.05,97
India Gate,Karol Bagh,81.83,30
Connaught Place,Hauz Khas,59.59,59
Hauz Khas,Gurgaon,98.24,146
Delhi University,Chandni Chowk,62.98,74
Nehru Place,Karol Bagh,14.1,172
Karol Bagh,Delhi University,27.82,168
Hauz Khas,India Gate,46.43,112
Delhi University,Rajiv Chowk,64.11,175
Rajiv Chowk,Chandni Chowk,79.47,32
Gurgaon,Rajiv Chowk,47.18,71
India Gate,Rajiv Chowk,73.91,52
Red Fort,Gurgaon,81.09,58
Karol Bagh,Nehru Place,38.55,115
Nehru Place,India Gate,98.13,30
India Gate,Gurgaon,68.47,145
Connaught Place,Rajiv Chowk,89.29,130
Red Fort,Nehru Place,60.03,40
Chandni Chowk,Red Fort,76.74,150
Rajiv Chowk,Hauz Khas,79.35,66
Delhi University,Nehru Place,91.74,159
Red Fort,Hauz Khas,23.53,26
India Gate,Nehru Place,60.25,53
Chandni Chowk,Rajiv Chowk,48.55,136
Hauz Khas,Karol Bagh,93.08,33
Rajiv Chowk,Gurgaon,19.46,178
Chandni Chowk,India Gate,98.43,175
Rajiv Chowk,Connaught Place,88.79,121
Rajiv Chowk,Nehru Place,16.64,49
Gurgaon,Connaught Place,54.19,114
India Gate,Delhi University,74.58,48
Chandni Chowk,Gurgaon,76.43,138
Rajiv Chowk,Karol Bagh,91.58,147
Karol Bagh,India Gate,81.99,153
Red Fort,India Gate,37.98,63
Hauz Khas,Chandni Chowk,54.86,142
Hauz Khas,Nehru Place,73.16,166
Rajiv Chowk,Red Fort,22.46,45
Chandni Chowk,Hauz Khas,27.46,30
Chandni Chowk,Connaught Place,53.29,16
India Gate,Hauz Khas,36.84,51
Connaught Place,Nehru Place,87.63,169
Connaught Place,Gurgaon,62.76,90
Delhi University,Hauz Khas,41.38,151
Delhi University,Red Fort,86.39,171
India Gate,Chandni Chowk,82.44,155
Gurgaon,India Gate,99.85,121
Nehru Place,Hauz Khas,86.26,75
India Gate,Connaught Place,47.3,99
Karol Bagh,Rajiv Chowk,21.47,57
Karol Bagh,Connaught Place,85.66,96
Connaught Place,Karol Bagh,15.38,52
Karol Bagh,Gurgaon,41.52,160
Red Fort,Chandni Chowk,92.78,77
Hauz Khas,Rajiv Chowk,96.47,157
Connaught Place,Red Fort,67.65,56
Karol Bagh,Hauz Khas,71.98,39
Chandni Chowk,Nehru Place,13.82,78
Chandni Chowk,Karol Bagh,56.3,119
Nehru Place,Gurgaon,59.22,168
India Gate,Red Fort,40.61,171
Karol Bagh,Chandni Chowk,16.17,14
Rajiv Chowk,Delhi University,30.6,175
Connaught Place,Chandni Chowk,42.22,62
Gurgaon,Delhi University,49.16,74
Red Fort,Connaught Place,63.18,27
Karol Bagh,Red Fort,75.02,155
Hauz Khas,Delhi University,38.59,177
Gurgaon,Chandni Chowk,39.61,114
Gurgaon,Nehru Place,11.77,28
Nehru Place,Chandni Chowk,13.68,143
Red Fort,Karol Bagh,33.2,108
Gurgaon,Karol Bagh,76.62,141
Rajiv Chowk,India Gate,66.55,68
Red Fort,Rajiv Chowk,79.28,10
Delhi University,Connaught Place,79.2,129
Hauz Khas,Connaught Place,87.09,45
Delhi University,Karol Bagh,74.83,35
Nehru Place,Red Fort,98.11,94
Chandni Chowk,Delhi University,90.89,103
Connaught Place,Delhi University,62.8,152
Nehru Place,Rajiv Chowk,62.93,54
Delhi University,India Gate,13.08,14
Red Fort,Delhi University,99.87,155
Gurgaon,Red Fort,21.84,66
Connaught Place,India Gate,76.63,139
Gurgaon,Hauz Khas,83.89,26
Nehru Place,Delhi University,43.57,88
Nehru Place,Connaught Place,27.72,116
Hauz Khas,Red Fort,18.89,34
Delhi University,Gurgaon,77.37,79
India Gate,Karol Bagh,50.74,131
Connaught Place,Hauz Khas,74.23,159
Hauz Khas,Gurgaon,92.39,18
Delhi University,Chandni Chowk,23.19,43
Nehru Place,Karol Bagh,92.73,79
Karol Bagh,Delhi University,47.05,106
Hauz Khas,India Gate,37.47,10
Delhi University,Rajiv Chowk,94.88,53
Rajiv Chowk,Chandni Chowk,99.16,125
Gurgaon,Rajiv Chowk,27.9,16
India Gate,Rajiv Chowk,69.12,152
Red Fort,Gurgaon,19.58,175
Karol Bagh,Nehru Place,68.58,102
Nehru Place,India Gate,84.46,63
India Gate,Gurgaon,71.6,39
Connaught Place,Rajiv Chowk,47.56,103
Red Fort,Nehru Place,44.48,130
Chandni Chowk,Red Fort,45.38,132
Rajiv Chowk,Hauz Khas,63.07,141
Delhi University,Nehru Place,89.34,84
Red Fort,Hauz Khas,93.62,51
India Gate,Nehru Place,14.82,177
Chandni Chowk,Rajiv Chowk,26.35,106
Hauz Khas,Karol Bagh,20.1,170
Rajiv Chowk,Gurgaon,27.4,166
Chandni Chowk,India Gate,41.19,24
Rajiv Chowk,Connaught Place,55.59,108
Rajiv Chowk,Nehru Place,66.65,72
Gurgaon,Connaught Place,75.89,71
India Gate,Delhi University,90.11,111
Chandni Chowk,Gurgaon,99.02,77
Rajiv Chowk,Karol Bagh,69.66,151
Karol Bagh,India Gate,86.08,156
Red Fort,India Gate,80.02,91
Hauz Khas,Chandni Chowk,37.68,71
Hauz Khas,Nehru Place,88.81,44
Rajiv Chowk,Red Fort,13.85,108
Chandni Chowk,Hauz Khas,10.03,93
Chandni Chowk,Connaught Place,34.64,85
India Gate,Hauz Khas,51.59,159
Connaught Place,Nehru Place,67.45,141
Connaught Place,Gurgaon,19.16,123
Delhi University,Hauz Khas,70.57,44
Delhi University,Red Fort,82.16,100
India Gate,Chandni Chowk,26.68,173
Gurgaon,India Gate,47.36,116
Nehru Place,Hauz Khas,56.8,21
India Gate,Connaught Place,50.66,114
Karol Bagh,Rajiv Chowk,81.98,76
Karol Bagh,Connaught Place,96.45,32
Connaught Place,Karol Bagh,81.91,51
Karol Bagh,Gurgaon,17.02,52
Red Fort,Chandni Chowk,82.44,153
Hauz Khas,Rajiv Chowk,15.99,70
Connaught Place,Red Fort,31.24,91
Karol Bagh,Hauz Khas,23.78,113
Chandni Chowk,Nehru Place,27.78,105
Chandni Chowk,Karol Bagh,57.55,109
Nehru Place,Gurgaon,70.45,134
India Gate,Red Fort,52.33,123
Karol Bagh,Chandni Chowk,96.37,13
Rajiv Chowk,Delhi University,31.63,163
Connaught Place,Chandni Chowk,78.68,61
Gurgaon,Delhi University,88.32,166
Red Fort,Connaught Place,60.59,92
Karol Bagh,Red Fort,51.06,118
Hauz Khas,Delhi University,63.66,161
Gurgaon,Chandni Chowk,48.59,120
Gurgaon,Nehru Place,59.97,20
Nehru Place,Chandni Chowk,47.52,151
Red Fort,Karol Bagh,46.04,87
Gurgaon,Karol Bagh,72.58,23
Rajiv Chowk,India Gate,18.36,75
Red Fort,Rajiv Chowk,24.99,13
Delhi University,Connaught Place,86.61,150
Hauz Khas,Connaught Place,79.4,18
Delhi University,Karol Bagh,35.33,20
Nehru Place,Red Fort,43.95,135
Chandni Chowk,Delhi University,93.34,16
Connaught Place,Delhi University,83.63,62
Nehru Place,Rajiv Chowk,65.29,169
Delhi University,India Gate,29.93,129
Red Fort,Delhi University,13.98,53
Gurgaon,Red Fort,48.81,159
Connaught Place,India Gate,70.54,23
Gurgaon,Hauz Khas,84.56,81
Nehru Place,Delhi University,86.74,55
Nehru Place,Connaught Place,12.95,38
Hauz Khas,Red Fort,31.97,92
Delhi University,Gurgaon,40.52,167
India Gate,Karol Bagh,26.99,71
Connaught Place,Hauz Khas,82.27,164
Hauz Khas,Gurgaon,79.07,60
Delhi University,Chandni Chowk,56.51,25
Nehru Place,Karol Bagh,98.46,75
Karol Bagh,Delhi University,22.97,119
Hauz Khas,India Gate,90.97,35
Delhi University,Rajiv Chowk,20.48,28
Rajiv Chowk,Chandni Chowk,24.69,49
Gurgaon,Rajiv Chowk,72.66,55
India Gate,Rajiv Chowk,19.86,160
Red Fort,Gurgaon,60.93,37
Karol Bagh,Nehru Place,47.82,54
Nehru Place,India Gate,75.56,176
India Gate,Gurgaon,91.06,10
Connaught Place,Rajiv Chowk,79.29,147
Red Fort,Nehru Place,86.47,32
Chandni Chowk,Red Fort,12.97,79
Rajiv Chowk,Hauz Khas,37.92,135
Delhi University,Nehru Place,56.39,161
Red Fort,Hauz Khas,47.44,80
India Gate,Nehru Place,30.81,96
Chandni Chowk,Rajiv Chowk,37.71,75
Hauz Khas,Karol Bagh,95.09,164
Rajiv Chowk,Gurgaon,36.48,169
Chandni Chowk,India Gate,41.85,157
Rajiv Chowk,Connaught Place,10.33,35
Rajiv Chowk,Nehru Place,86.06,81
Gurgaon,Connaught Place,23.94,21
India Gate,Delhi University,28.37,133
Chandni Chowk,Gurgaon,32.97,65
Rajiv Chowk,Karol Bagh,89.62,27
Karol Bagh,India Gate,28.58,114
Red Fort,India Gate,81.78,10
Hauz Khas,Chandni Chowk,82.72,21
Hauz Khas,Nehru Place,93.43,46
Rajiv Chowk,Red Fort,20.4,18
Chandni Chowk,Hauz Khas,29.56,73
Chandni Chowk,Connaught Place,76.86,148
India Gate,Hauz Khas,27.64,19
Connaught Place,Nehru Place,35.77,128
Connaught Place,Gurgaon,25.01,94
Delhi University,Hauz Khas,25.54,14
Delhi University,Red Fort,53.34,49
India Gate,Chandni Chowk,19.87,62
Gurgaon,India Gate,38.95,109
Nehru Place,Hauz Khas,48.39,133
India Gate,Connaught Place,12.21,58
Karol Bagh,Rajiv Chowk,44.95,40
Karol Bagh,Connaught Place,18.47,13
Connaught Place,Karol Bagh,54.42,20
Karol Bagh,Gurgaon,84.32,42
Red Fort,Chandni Chowk,83.66,159
Hauz Khas,Rajiv Chowk,17.24,179
Connaught Place,Red Fort,64.11,132
Karol Bagh,Hauz Khas,85.11,120
Chandni Chowk,Nehru Place,31.42,107
Chandni Chowk,Karol Bagh,78.57,156
Nehru Place,Gurgaon,90.17,62
India Gate,Red Fort,82.55,99
Karol Bagh,Chandni Chowk,19.66,102
Rajiv Chowk,Delhi University,10.82,179
Connaught Place,Chandni Chowk,27.26,27
Gurgaon,Delhi University,34.34,152
Red Fort,Connaught Place,65.46,69
Karol Bagh,Red Fort,44.58,70
Hauz Khas,Delhi University,73.31,23
Gurgaon,Chandni Chowk,41.78,107
Gurgaon,Nehru Place,23.9,32
Nehru Place,Chandni Chowk,38.14,98
Red Fort,Karol Bagh,89.59,168
Gurgaon,Karol Bagh,96.27,148
Rajiv Chowk,India Gate,28.68,141
Red Fort,Rajiv Chowk,80.96,169
Delhi University,Connaught Place,34.6,42
Hauz Khas,Connaught Place,89.84,151
Delhi University,Karol Bagh,24.9,49
Nehru Place,Red Fort,69.94,138
Chandni Chowk,Delhi University,17.58,34
Connaught Place,Delhi University,97.65,94
Nehru Place,Rajiv Chowk,73.06,53
Delhi University,India Gate,85.76,115
Red Fort,Delhi University,61.0,100
Gurgaon,Red Fort,52.91,107
Connaught Place,India Gate,65.97,100
Gurgaon,Hauz Khas,57.59,179
Nehru Place,Delhi University,52.24,169
Nehru Place,Connaught Place,78.35,50
Hauz Khas,Red Fort,26.04,18
Delhi University,Gurgaon,25.41,174
India Gate,Karol Bagh,48.87,91
Connaught Place,Hauz Khas,38.87,104
Hauz Khas,Gurgaon,16.67,139
Delhi University,Chandni Chowk,86.0,39
Nehru Place,Karol Bagh,79.44,94
Karol Bagh,Delhi University,58.95,146
Hauz Khas,India Gate,98.14,129
Delhi University,Rajiv Chowk,16.53,46
Rajiv Chowk,Chandni Chowk,79.0,103
Gurgaon,Rajiv Chowk,33.97,118
India Gate,Rajiv Chowk,43.17,25
Red Fort,Gurgaon,29.74,23
Karol Bagh,Nehru Place,81.01,163
Nehru Place,India Gate,22.98,60
India Gate,Gurgaon,85.6,149
Connaught Place,Rajiv Chowk,69.54,56
Red Fort,Nehru Place,15.31,140
Chandni Chowk,Red Fort,82.99,171
Rajiv Chowk,Hauz Khas,66.5,100
Delhi University,Nehru Place,91.45,179
Red Fort,Hauz Khas,77.39,11
India Gate,Nehru Place,60.5,164
Chandni Chowk,Rajiv Chowk,85.29,93
Hauz Khas,Karol Bagh,35.02,165
Rajiv Chowk,Gurgaon,59.23,109
Chandni Chowk,India Gate,36.43,160
Rajiv Chowk,Connaught Place,97.14,118
Rajiv Chowk,Nehru Place,30.36,94
Gurgaon,Connaught Place,11.42,174
India Gate,Delhi University,39.33,162
Chandni Chowk,Gurgaon,55.23,40
Rajiv Chowk,Karol Bagh,12.55,150
Karol Bagh,India Gate,60.33,62
Red Fort,India Gate,88.69,66
Hauz Khas,Chandni Chowk,73.43,78
Hauz Khas,Nehru Place,66.07,79
Rajiv Chowk,Red Fort,96.04,95
Chandni Chowk,Hauz Khas,96.25,123
Chandni Chowk,Connaught Place,84.18,162
India Gate,Hauz Khas,64.7,146
Connaught Place,Nehru Place,53.9,132
Connaught Place,Gurgaon,11.2,122
Delhi University,Hauz Khas,64.56,132
Delhi University,Red Fort,99.02,168
India Gate,Chandni Chowk,83.63,42
Gurgaon,India Gate,40.65,95
Nehru Place,Hauz Khas,23.68,127
India Gate,Connaught Place,80.57,94
Karol Bagh,Rajiv Chowk,76.95,91
Karol Bagh,Connaught Place,97.03,136
Connaught Place,Karol Bagh,88.74,155
Karol Bagh,Gurgaon,60.01,85
Red Fort,Chandni Chowk,19.12,156
Hauz Khas,Rajiv Chowk,53.52,131
Connaught Place,Red Fort,38.23,173
Karol Bagh,Hauz Khas,56.12,68
Chandni Chowk,Nehru Place,37.15,95
Chandni Chowk,Karol Bagh,87.56,53
Nehru Place,Gurgaon,85.99,108
India Gate,Red Fort,38.39,125
Karol Bagh,Chandni Chowk,63.96,107
Rajiv Chowk,Delhi University,48.72,165
Connaught Place,Chandni Chowk,91.82,61
Gurgaon,Delhi University,26.86,69
Red Fort,Connaught Place,72.8,174
Karol Bagh,Red Fort,97.33,149
Hauz Khas,Delhi University,25.77,82
Gurgaon,Chandni Chowk,28.18,103
Gurgaon,Nehru Place,72.44,171
Nehru Place,Chandni Chowk,80.12,152
Red Fort,Karol Bagh,54.15,120
Gurgaon,Karol Bagh,64.87,169
Rajiv Chowk,India Gate,29.14,73
Red Fort,Rajiv Chowk,52.9,31
Delhi University,Connaught Place,20.09,140
Hauz Khas,Connaught Place,38.93,164
Delhi University,Karol Bagh,35.63,19
Nehru Place,Red Fort,50.02,139
Chandni Chowk,Delhi University,93.71,77
Connaught Place,Delhi University,26.31,91
Nehru Place,Rajiv Chowk,46.12,11
Delhi University,India Gate,65.4,122
Red Fort,Delhi University,95.19,40
Gurgaon,Red Fort,21.98,44
Connaught Place,India Gate,92.61,20
Gurgaon,Hauz Khas,17.29,144
Nehru Place,Delhi University,53.27,15
Nehru Place,Connaught Place,50.91,52
Hauz Khas,Red Fort,28.86,115
Delhi University,Gurgaon,41.27,176
India Gate,Karol Bagh,50.87,15
Connaught Place,Hauz Khas,87.87,70
Hauz Khas,Gurgaon,95.96,168
Delhi University,Chandni Chowk,56.7,69
Nehru Place,Karol Bagh,88.31,18
Karol Bagh,Delhi University,64.74,129
Hauz Khas,India Gate,41.42,96
Delhi University,Rajiv Chowk,27.48,141
Rajiv Chowk,Chandni Chowk,47.18,25
Gurgaon,Rajiv Chowk,57.05,112
India Gate,Rajiv Chowk,14.0,120
Red Fort,Gurgaon,23.13,104
Karol Bagh,Nehru Place,64.02,16
Nehru Place,India Gate,30.25,103
India Gate,Gurgaon,85.36,32
Connaught Place,Rajiv Chowk,39.42,20
Red Fort,Nehru Place,19.44,166
Chandni Chowk,Red Fort,17.52,145
Rajiv Chowk,Hauz Khas,94.34,101
Delhi University,Nehru Place,20.62,93
Red Fort,Hauz Khas,22.68,12
India Gate,Nehru Place,87.64,125
Chandni Chowk,Rajiv Chowk,32.89,81
Hauz Khas,Karol Bagh,69.94,29
Rajiv Chowk,Gurgaon,83.51,104
Chandni Chowk,India Gate,64.65,40
Rajiv Chowk,Connaught Place,96.17,136
Rajiv Chowk,Nehru Place,73.8,37
Gurgaon,Connaught Place,20.15,25
India Gate,Delhi University,60.26,57
Chandni Chowk,Gurgaon,74.64,33
Rajiv Chowk,Karol Bagh,82.18,104
Karol Bagh,India Gate,12.37,146
Red Fort,India Gate,74.7,151
Hauz Khas,Chandni Chowk,84.31,48
Hauz Khas,Nehru Place,77.22,176
Rajiv Chowk,Red Fort,56.11,12
Chandni Chowk,Hauz Khas,51.22,52
Chandni Chowk,Connaught Place,59.45,61
India Gate,Hauz Khas,73.42,78
Connaught Place,Nehru Place,93.06,48
Connaught Place,Gurgaon,65.53,69
Delhi University,Hauz Khas,89.91,72
Delhi University,Red Fort,73.11,120
India Gate,Chandni Chowk,16.15,124
Gurgaon,India Gate,55.07,171
Nehru Place,Hauz Khas,35.78,98
India Gate,Connaught Place,35.67,118
Karol Bagh,Rajiv Chowk,42.03,152
Karol Bagh,Connaught Place,38.33,126
Connaught Place,Karol Bagh,62.07,115
Karol Bagh,Gurgaon,71.52,91
Red Fort,Chandni Chowk,34.19,163
Hauz Khas,Rajiv Chowk,21.68,174
Connaught Place,Red Fort,15.29,150
Karol Bagh,Hauz Khas,61.82,48
Chandni Chowk,Nehru Place,26.75,40
Chandni Chowk,Karol Bagh,10.83,108
Nehru Place,Gurgaon,93.5,93
India Gate,Red Fort,58.34,41
Karol Bagh,Chandni Chowk,18.32,110
Rajiv Chowk,Delhi University,85.86,85
Connaught Place,Chandni Chowk,98.49,17
Gurgaon,Delhi University,50.37,79
Red Fort,Connaught Place,13.82,87
Karol Bagh,Red Fort,20.58,42
Hauz Khas,Delhi University,44.35,42
Gurgaon,Chandni Chowk,89.7,38
Gurgaon,Nehru Place,23.32,22
Nehru Place,Chandni Chowk,84.16,103
Red Fort,Karol Bagh,11.35,84
Gurgaon,Karol Bagh,51.16,65
Rajiv Chowk,India Gate,68.0,83
Red Fort,Rajiv Chowk,15.43,59
Delhi University,Connaught Place,65.33,29
Hauz Khas,Connaught Place,95.0,161
Delhi University,Karol Bagh,24.42,40
Nehru Place,Red Fort,75.67,23
Chandni Chowk,Delhi University,64.82,41
Connaught Place,Delhi University,26.66,154
Nehru Place,Rajiv Chowk,10.56,28
Delhi University,India Gate,10.84,139
Red Fort,Delhi University,57.89,25
Gurgaon,Red Fort,94.85,170
Connaught Place,India Gate,67.99,88
Gurgaon,Hauz Khas,74.29,83
Nehru Place,Delhi University,54.45,16
Nehru Place,Connaught Place,62.37,121
Hauz Khas,Red Fort,21.37,80
Delhi University,Gurgaon,88.91,128
India Gate,Karol Bagh,78.47,95
Connaught Place,Hauz Khas,99.84,84
Hauz Khas,Gurgaon,36.8,101
Delhi University,Chandni Chowk,30.43,164
Nehru Place,Karol Bagh,21.26,36
Karol Bagh,Delhi University,96.78,78
Hauz Khas,India Gate,80.28,69
Delhi University,Rajiv Chowk,24.97,167
Rajiv Chowk,Chandni Chowk,59.74,102
Gurgaon,Rajiv Chowk,47.24,71
India Gate,Rajiv Chowk,23.63,153
Red Fort,Gurgaon,24.59,120
Karol Bagh,Nehru Place,96.71,101
Nehru Place,India Gate,37.45,178
India Gate,Gurgaon,94.73,170
Connaught Place,Rajiv Chowk,16.8,123
Red Fort,Nehru Place,51.47,152
Chandni Chowk,Red Fort,21.67,78
Rajiv Chowk,Hauz Khas,10.43,99
Delhi University,Nehru Place,59.84,22
Red Fort,Hauz Khas,20.25,115
India Gate,Nehru Place,74.98,69
Chandni Chowk,Rajiv Chowk,72.83,62
Hauz Khas,Karol Bagh,25.87,151
Rajiv Chowk,Gurgaon,94.76,130
Chandni Chowk,India Gate,74.89,123
Rajiv Chowk,Connaught Place,36.82,126
Rajiv Chowk,Nehru Place,73.83,93
Gurgaon,Connaught Place,75.87,98
India Gate,Delhi University,40.8,131
Chandni Chowk,Gurgaon,43.8,97
Rajiv Chowk,Karol Bagh,42.32,72
Karol Bagh,India Gate,65.5,20
Red Fort,India Gate,91.04,104
Hauz Khas,Chandni Chowk,25.59,106
Hauz Khas,Nehru Place,88.77,114
Rajiv Chowk,Red Fort,12.49,64
Chandni Chowk,Hauz Khas,69.43,104
Chandni Chowk,Connaught Place,47.3,144
India Gate,Hauz Khas,81.22,163
Connaught Place,Nehru Place,74.91,15
Connaught Place,Gurgaon,53.21,57
Delhi University,Hauz Khas,67.95,165
Delhi University,Red Fort,55.16,99
India Gate,Chandni Chowk,83.04,171
Gurgaon,India Gate,52.85,154
Nehru Place,Hauz Khas,57.08,154
India Gate,Connaught Place,32.55,89
Karol Bagh,Rajiv Chowk,64.45,172
Karol Bagh,Connaught Place,37.26,79
Connaught Place,Karol Bagh,61.96,82
Karol Bagh,Gurgaon,25.27,154
Red Fort,Chandni Chowk,24.35,61
Hauz Khas,Rajiv Chowk,47.53,102
Connaught Place,Red Fort,48.41,143
Karol Bagh,Hauz Khas,34.13,10
Chandni Chowk,Nehru Place,21.84,33
Chandni Chowk,Karol Bagh,13.53,168
Nehru Place,Gurgaon,12.27,120
India Gate,Red Fort,34.44,48
Karol Bagh,Chandni Chowk,51.57,178
Rajiv Chowk,Delhi University,75.36,91
Connaught Place,Chandni Chowk,52.74,137
Gurgaon,Delhi University,91.36,153
Red Fort,Connaught Place,13.17,84
Karol Bagh,Red Fort,26.26,28
Hauz Khas,Delhi University,40.47,37
Gurgaon,Chandni Chowk,61.97,61
Gurgaon,Nehru Place,86.75,134
Nehru Place,Chandni Chowk,41.52,57
Red Fort,Karol Bagh,34.12,91
Gurgaon,Karol Bagh,15.57,129
Rajiv Chowk,India Gate,83.92,179
Red Fort,Rajiv Chowk,44.17,141
Delhi University,Connaught Place,61.44,127
Hauz Khas,Connaught Place,98.52,163
Delhi University,Karol Bagh,10.14,118
Nehru Place,Red Fort,23.09,89
Chandni Chowk,Delhi University,80.12,31
Connaught Place,Delhi University,82.46,70
Nehru Place,Rajiv Chowk,79.23,39
Delhi University,India Gate,58.33,32
Red Fort,Delhi University,98.1,34
Gurgaon,Red Fort,45.66,77
Connaught Place,India Gate,64.17,147
Gurgaon,Hauz Khas,15.7,48
Nehru Place,Delhi University,46.89,74
Nehru Place,Connaught Place,75.03,89
Hauz Khas,Red Fort,31.49,152
Delhi University,Gurgaon,94.94,79
India Gate,Karol Bagh,71.81,91
Connaught Place,Hauz Khas,35.88,115
Hauz Khas,Gurgaon,79.21,77
Delhi University,Chandni Chowk,17.48,92
Nehru Place,Karol Bagh,97.73,117
Karol Bagh,Delhi University,14.44,123
Hauz Khas,India Gate,94.01,139
Delhi University,Rajiv Chowk,32.76,145
Rajiv Chowk,Chandni Chowk,78.2,18
Gurgaon,Rajiv Chowk,10.01,41
India Gate,Rajiv Chowk,32.88,134
Red Fort,Gurgaon,77.42,24
Karol Bagh,Nehru Place,57.91,158
Nehru Place,India Gate,20.35,156
India Gate,Gurgaon,45.43,173
Connaught Place,Rajiv Chowk,43.8,54
Red Fort,Nehru Place,61.13,113
Chandni Chowk,Red Fort,70.12,169
Rajiv Chowk,Hauz Khas,85.67,162
Delhi University,Nehru Place,54.75,48
Red Fort,Hauz Khas,45.28,51
India Gate,Nehru Place,22.96,85
Chandni Chowk,Rajiv Chowk,82.43,69
Hauz Khas,Karol Bagh,74.2,45
Rajiv Chowk,Gurgaon,46.78,85
Chandni Chowk,India Gate,56.66,57
Rajiv Chowk,Connaught Place,69.87,124
Rajiv Chowk,Nehru Place,24.83,124
Gurgaon,Connaught Place,12.45,119
India Gate,Delhi University,38.58,39
Chandni Chowk,Gurgaon,63.6,60
Rajiv Chowk,Karol Bagh,53.79,131
Karol Bagh,India Gate,72.33,148
Red Fort,India Gate,83.77,52
Hauz Khas,Chandni Chowk,53.96,36
Hauz Khas,Nehru Place,22.08,115
Rajiv Chowk,Red Fort,86.56,135
Chandni Chowk,Hauz Khas,61.75,126
Chandni Chowk,Connaught Place,76.59,17
India Gate,Hauz Khas,73.42,155
Connaught Place,Nehru Place,97.14,84
Connaught Place,Gurgaon,36.58,66
Delhi University,Hauz Khas,73.48,166
Delhi University,Red Fort,42.91,154
India Gate,Chandni Chowk,45.59,71
Gurgaon,India Gate,30.75,78
Nehru Place,Hauz Khas,40.96,64
India Gate,Connaught Place,95.35,170
Karol Bagh,Rajiv Chowk,36.33,120
Karol Bagh,Connaught Place,32.14,22
Connaught Place,Karol Bagh,62.48,163
